ID_PGROUP,NAME,YEAR1,YEAR2,COURSE_NUM,WEEK_NUM1,WEEK_NUM2,ID_PGROUPPERIOD
91,ИС,2020,2023,1,1,17,509
91,ИС,2020,2023,1,20,41,510
91,ИС,2020,2023,2,1,15,511
91,ИС,2020,2023,2,23,42,512
91,ИС,2020,2023,3,1,12,513
91,ИС,2020,2023,3,20,37,514
91,ИС,2020,2023,4,1,15,515
92,МО,2020,2022,1,1,17,552
92,МО,2020,2022,1,20,39,553
92,МО,2020,2022,2,1,9,550
92,МО,2020,2022,2,22,33,551
92,МО,2020,2022,3,1,25,666
93,ТО,2020,2023,1,1,17,523
93,ТО,2020,2023,1,20,41,524
93,ТО,2020,2023,2,1,17,525
93,ТО,2020,2023,2,23,42,526
93,ТО,2020,2023,3,1,17,528
93,ТО,2020,2023,3,23,33,529
93,ТО,2020,2023,4,1,24,527
94,ТМ,2020,2023,1,1,17,530
94,ТМ,2020,2023,1,20,41,531
94,ТМ,2020,2023,2,1,16,532
94,ТМ,2020,2023,2,23,37,533
94,ТМ,2020,2023,3,1,15,535
94,ТМ,2020,2023,3,23,38,536
94,ТМ,2020,2023,4,1,21,534
95,ЭЛ,2020,2023,1,1,17,516
95,ЭЛ,2020,2023,1,20,41,517
95,ЭЛ,2020,2023,2,1,17,518
95,ЭЛ,2020,2023,2,23,39,519
95,ЭЛ,2020,2023,3,1,17,521
95,ЭЛ,2020,2023,3,23,39,522
95,ЭЛ,2020,2023,4,1,23,520
96,ТП,2020,2023,1,1,17,546
96,ТП,2020,2023,1,20,41,548
96,ТП,2020,2023,2,22,39,544
96,ТП,2020,2023,2,1,16,547
96,ТП,2020,2023,3,1,15,545
96,ТП,2020,2023,3,23,34,549
96,ТП,2020,2023,4,1,20,676
97,СП,2020,2023,1,1,17,537
97,СП,2020,2023,1,20,41,538
97,СП,2020,2023,2,1,15,539
97,СП,2020,2023,2,23,43,540
97,СП,2020,2023,3,1,15,542
97,СП,2020,2023,3,23,38,543
97,СП,2020,2023,4,1,21,541
99,СП2,2020,2023,1,1,2,558
99,СП2,2020,2023,2,1,2,616
99,СП2,2020,2023,3,1,2,669
99,СП2,2020,2023,4,1,2,712
101,ИС,2021,2024,1,1,17,572
101,ИС,2021,2024,1,20,41,573
101,ИС,2021,2024,2,1,15,574
101,ИС,2021,2024,2,23,42,575
101,ИС,2021,2024,3,1,12,576
101,ИС,2021,2024,3,23,38,577
101,ИС,2021,2024,4,1,20,578
102,ОС,2021,2023,1,1,17,609
102,ОС,2021,2023,1,20,39,613
102,ОС,2021,2023,2,1,15,664
102,ОС,2021,2023,2,22,35,675
102,ОС,2021,2023,3,1,14,680
103,СВ,2021,2023,1,1,17,608
103,СВ,2021,2023,1,20,39,614
103,СВ,2021,2023,2,1,14,665
103,СВ,2021,2023,2,22,34,674
103,СВ,2021,2023,3,1,13,679
104,СП,2021,2024,1,1,17,565
104,СП,2021,2024,1,20,41,566
104,СП,2021,2024,2,1,11,567
104,СП,2021,2024,2,23,43,568
104,СП,2021,2024,3,1,15,570
104,СП,2021,2024,3,23,38,571
104,СП,2021,2024,4,1,21,569
105,ТМ,2021,2024,1,1,17,579
105,ТМ,2021,2024,1,20,41,580
105,ТМ,2021,2024,2,1,16,581
105,ТМ,2021,2024,2,23,37,582
105,ТМ,2021,2024,3,1,15,584
105,ТМ,2021,2024,3,23,38,585
105,ТМ,2021,2024,4,1,21,583
106,ТО,2021,2024,1,1,17,586
106,ТО,2021,2024,1,20,41,587
106,ТО,2021,2024,2,1,17,588
106,ТО,2021,2024,2,23,42,589
106,ТО,2021,2024,3,1,17,591
106,ТО,2021,2024,3,23,38,592
106,ТО,2021,2024,4,1,21,590
107,ЭЛ,2021,2024,1,1,17,593
107,ЭЛ,2021,2024,1,20,41,594
107,ЭЛ,2021,2024,2,1,17,595
107,ЭЛ,2021,2024,2,23,39,596
107,ЭЛ,2021,2024,3,1,17,598
107,ЭЛ,2021,2024,3,23,38,599
107,ЭЛ,2021,2024,4,1,21,597
108,СПП,2021,2024,1,1,17,600
108,СПП,2021,2024,1,20,41,601
108,СПП,2021,2024,2,1,15,602
108,СПП,2021,2024,2,23,38,603
108,СПП,2021,2024,3,1,16,605
108,СПП,2021,2024,3,23,38,606
108,СПП,2021,2024,4,1,21,604
